"RegionName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02"
"California",216.511627906977,203.359328134373,199.757869249395,194.794631964213,193.156199677939,194.830508474576,198.83401920439,205.823529411765,204.707884288145,200.737704918033,198.221757322176,203.879310344828,199.941176470588,194.453376205788,208.333333333333,207.102125453603,209.455415918612,206.475832942281,208.830548926014,211.640211640212,214.348206474191,210.782326712606,208.69887076537,204.509177972865,200.431034482759,197.814619442351,190.566936636494,188.876467300168,191.570881226054,189.035286704474,187.417994376757,190.47619047619,188.325471698113,186.083123425693,188.19503849444,186.314363143631,185.069444444444,180.987654320988,177.222222222222,176.470588235294,176.056338028169,178.381962864721,182.764363030808,186.64047151277,189.761694616064,192.837465564738,195.280716029292,195.033112582781,196.137196137196,196.678321678322,193.391360412637,196.771340114993,209.402852049911,216.731087796797,226.30145175064,238.095238095238,242.926829268293,247.274529236868,246.415770609319,247.185691741189,246.176129779838,237.420269312544,235.217163788592,230.194805194805,236.538461538462
"Texas",83.6156980484667,83.5030549898167,83.3829331046312,83.8928856914468,84.1126516464471,86.1454661967318,86.6372980910426,87.8255208333333,87.260034904014,87.1109607577808,86.7169373549884,87.0378063980058,86.6108786610879,86.5698345517507,86.4882506527415,85.2272727272727,86.0259433962264,86.125530910807,86.4360800271278,86.5128020194735,86.3267302518953,85.7222460351479,84.5909732016925,85.0709219858156,85.0595238095238,85.0661625708885,84.1494377947044,83.7619185206588,84.5827439886846,84.829295154185,83.8561403508772,84.7568988173456,85.0089232599643,84.4397238449283,84.8375451263538,83.8539163863527,83.986562150056,83.616298811545,83.4668892598776,83.7371937639198,84.0789473684211,84.5642540620384,85.3669064748201,85.9982713915298,86.241610738255,85.7552924291353,85.9809624537282,85.7843137254902,85.8421629521374,86.2038177339901,86.616847826087,86.8077162414437,88.614248479583,89.7204161248375,90.5695611577964,91.4902998236332,92.1204323211529,92.2695610687023,92.3382912487029,92.5925925925926,93.66391184573,92.9824561403509,93.4838709677419,93.5087719298246,94.9675324675325
"New York",185.370879120879,189.504373177843,185.971685971686,185.51724137931,184.235074626866,186.806342015855,194.438888888889,190.46875,184.940554821664,172.412931034483,172,175.925925925926,182.352352941176,179.8,177.178899082569,174.75,169.464170432537,173.015873015873,171.666666666667,182.112932604736,181.418181818182,181.813636363636,176.470588235294,179.06976744186,177.97619047619,178.571428571429,176.586325627152,175.429799426934,177.067478437341,182.5,178.52684144819,174.34554973822,168.939393939394,167.894056847545,178.988326848249,177.449867574726,174.055829228243,170.848540145985,171.875,170.689655172414,173.046488625124,171.109828889773,172.605965463108,171.371428571429,167.410714285714,165.833333333333,164.467483506126,168.614457831325,171.354166666667,167.741935483871,172.678434382195,173.531875,176.585747846515,177.045454545455,171.92,168.269230769231,162.790697674419,159.16149068323,156.00624024961,156,158.762322015334,163.805436337625,167.079207920792,171.695402298851,177.184466019417
"Florida",132.619047619048,130.208333333333,127.906589147287,128.640776699029,127.434613244296,125.851851851852,125.870380289234,126.086956521739,125.786163522013,123.586572438163,122.401847575058,121.020761245675,119.376244193762,117.821428571429,118.055555555556,115.511551155115,114.122681883024,112.669071235347,111.631497683994,111.59793814433,110.253267973856,108.175318619832,106.847984458475,105.540897097625,104.728546409807,104.759594177327,102.82472235635,102.33918128655,105.064655172414,103.878667329687,100,102.272727272727,102.042028482112,101.847465656087,104.561403508772,105.271084337349,105.724838411819,104.238706079197,102.803738317757,102.773246329527,103.064230995875,103.354779411765,102.222222222222,101.592465753425,102.061855670103,102.704164413196,102.848101265823,103.92,102.836304700162,104.665071770335,106.002700877785,107.930367504836,109.240246406571,111.466666666667,113.238967527061,113.841436706088,114.46335078534,114.14762741652,114.035087719298,114.189189189189,114.614243323442,115.979381443299,116.203814064362,116.583333333333,119.284009546539
"Illinois",140.043103448276,139.14907651715,136.876006441224,133.296296296296,132.714285714286,134.274809160305,134.257142857143,135.6,133.208955223881,131.538461538462,131.913139087411,130.829367777022,129.637377963738,125.31328320802,125.848981222533,124.116523400191,123.911587407904,123.998091603053,124.375,124.375,124.224958030218,120.46004842615,119.277108433735,116.786047960137,116.619047619048,114.556007393715,111.181702668361,109.530261969286,110.729613733906,110.245098039216,110.46511627907,110.63829787234,110,108.538350217077,109.814687714482,109.047619047619,108.181818181818,106.216790648247,105.157738095238,105.296127562642,105.689828801611,105.852941176471,106.476997578692,105.956848030019,106.911984087519,104.975,103.66076876144,102.813852813853,102.009419152276,100.946372239748,99.1890205864005,100,102.249488752556,104.633781763827,107.947530864198,111.669458403127,113.038277511962,111.98275862069,111.830508474576,112.04954954955,111.305732484076,108.546743464776,108.641928079572,106.609808102345,111.20218579235
"Pennsylvania",124.577464788732,123.003194888179,122.478991596639,121.96,121.836419753086,121.854304635762,120.287656903766,122.723214285714,119.870310328856,119.167717528373,118.136363636364,117.995802728227,117.555938037866,116.495806150979,115.32967032967,114.540540540541,115.569823434992,116.535843011614,114.213197969543,113.04347826087,113.940581129611,112.919132149901,111.538461538462,111.827956989247,111.565656565657,111.406518010292,109.854661467565,109.299279633268,110.378548895899,110.970996216898,110.220588235294,110.78431372549,111.040609137056,109.25572519084,111.606398809524,109.809663250366,109.126365054602,108.541420118343,107.480653482373,108.170995670996,108.248546511628,109.248554913295,109.427609427609,109.221748400853,109.259259259259,108.467741935484,107.399380804954,106.577777777778,105.878186968839,105.505279034691,104.292343387471,104.455445544554,106.6,107.916355489171,109.302325581395,111.818181818182,112.416666666667,110.957004160888,109.375,109.615384615385,108.881897386254,107.90273556231,108.366718027735,106.23869801085,107.053571428571
"Ohio",84.9078341013825,83.2904884318766,82.2065378900446,82.6388888888889,82.6719576719577,82.9989969909729,84.3605546995377,85.351966873706,85.1641414141414,85.3433835845896,85,84.4594594594595,83.2738095238095,82.1989528795812,82.3604060913706,82.2259136212625,82.9166666666667,83.0452127659574,84.6028645833333,85.2713178294574,83.2158872517617,82.2100313479624,81.7902813299233,82.0714285714286,81.7307692307692,81.6696113074205,79.2857142857143,78.3783783783784,78.5870356882739,78.9511494252874,78.8300835654596,79.9,80.4518211157215,79.2926411865374,81.5972222222222,80.9027777777778,80.3933253873659,79.4386873920553,78.4905660377359,78.125,78.397212543554,78.9692435577722,79.7872340425532,80.4597701149425,80.8270676691729,80.7622504537205,80.1801801801802,79.4871794871795,78.8548241659152,78.6614173228346,77.1377672209026,76.7870868562644,77.3818745158792,78.7725225225225,79.9709020368574,81.5503173164098,81.8985849056604,81.657848324515,80.7330827067669,80.281124497992,80.4450757575758,79.1806786915317,78.5984848484848,78.3880171184023,80.0480769230769
"Michigan",93.6458333333333,91.3513513513513,90.5707196029777,89.7604790419162,88.6766712141883,87.0846730975348,86.8695652173913,88.5121457489879,86.0749808722265,87.0108243130724,84.8227658512232,84.4226579520697,83.25,82.8,82.0757214720678,81.25,80.4548959136469,80,80.6315789473684,81.2026002166847,80.5569125549585,79.5454545454545,78.1487743026205,77.7222222222222,77.3760330578512,75.8408531583265,73,71.9512195121951,72.7130977130977,72.5738396624473,71.5979381443299,74.9,75.9956553222303,75.3863550697324,75.9756715661429,75.3598645215919,75.187969924812,74.0178571428571,73.3137829912024,73.2681336593317,72.3070739549839,74.2424242424242,75.1674394641937,76.058201058201,77.0101925254813,77.5621118012422,76.9230769230769,76.7692307692308,75.668449197861,76.0038240917782,75,75.1493428912784,76.4117647058823,78.9259927797834,82.6058201058201,85.8518518518519,88.8888888888889,89.0142517814727,89.0235210263721,89.0099281068127,88.2056451612903,86.1528822055138,85.5249745158002,83.9871897518014,86.4423076923077
"Georgia",95.3932061423918,94.3888888888889,94.5112781954887,94.6022727272727,93.9916405433647,93.8935281837161,94.577553593947,95.2142857142857,94.2857142857143,93.4347826086956,92.5,92.5,91.5411355735805,91.1389715257119,91.0596026490066,90.59375,90.8018867924528,90.3556359252562,90.5141202027516,90.3846153846154,89.6153846153846,88.6499667479494,87.0835468990261,86.7963863794302,86.3171355498721,85.1063829787234,82.7995582551077,81.25,81.2793427230047,81.0876623376623,80.2026500389712,80.3998049731838,80,79.3148880105402,80.9612320764737,80.9311740890688,80.1411290322581,78.7234042553192,78.5075787019044,78.4757505773672,79.1925465838509,78.9473684210526,77.9896013864818,78.9473684210526,81.0295905958654,79.9360511590727,79.7685554668795,80.6666666666667,81.4321926489227,81.8414322250639,81.9329691111578,82.2433954092681,83.7709497206704,84.9617672047579,86.3066538090646,87.5656742556918,88.6042864610559,88.7397141619749,88.379705400982,88.7046153846154,88.7117510928259,87.5265768958186,86.2944162436548,85.4040583837665,87.5072971395213
"North Carolina",116.423213580734,114.754098360656,115.15625,114.763779527559,115,115.073343449671,115.610015982952,115.324244657332,115.444572748268,113.88679245283,112.467866323907,112.419700214133,111.81906614786,110.833333333333,110.650069156293,109.774848984075,109.283196239718,109.285714285714,109.263521288838,108.986446670595,108.699090549624,108.260869565217,106.284658040665,105.683419445749,106.382978723404,106.353591160221,104.868913857678,103.721896844889,104.325130499627,104.683195592286,103.75,104.077791718946,103.370786516854,103.284132841328,104.634495938844,104.510167464115,104.166666666667,103.484529888856,103.079416531605,102.813852813853,102.355460385439,103.264490339773,103.790238836968,103.171091445428,102.941176470588,102.505966587112,102.810650887574,102.292100776662,102.347652347652,101.811346548189,101.338199513382,100.90237899918,101.671938544962,102.811950790861,103.846153846154,104.317548746518,105.35187526338,104.395604395604,104.166319444444,104.027777777778,103.911404335533,102.660217654172,101.703786191537,101.412066752246,102.230769230769
"New Jersey",200.146627565982,199.799465240642,199,198.019299136618,197.260909935005,196.511056511057,198,195.951327433628,194.257950530035,192.241379310345,192.05298013245,191.822008418521,192.226890756303,190.972222222222,195.452674897119,195.226438188494,192.358438702584,191.758241758242,190.669014084507,191.19170984456,190.454545454545,188.923004251299,185.138888888889,185.714285714286,184.328908554572,183.122847301952,180.764941077441,177.948034643571,179.166666666667,180,176.253918495298,177.222222222222,176.227678571429,174.772727272727,176.029962546816,175.102159953298,174.107142857143,171.928746928747,169.918422841604,168.698387731026,169.722222222222,171.875,171.831364124597,172.704837117473,172.396551724138,170.592433975732,168.866943866944,169.699367088608,167.910447761194,166.358595194085,164.527956003666,163.890381515314,166.156914893617,168.986083499006,171.323529411765,173.438485804416,173.29255861366,172.637308263236,172.209903917221,168.691314553991,168.445692883895,166.822429906542,163.572961373391,163.551401869159,166.868932038835
"Virginia",140.657388214391,139.195775792039,138.14913448735,137.096774193548,136.666666666667,136.574074074074,136.282467532468,136.137820512821,136.03550295858,134.570596797671,134.1126868532,133.686917389907,133.120340788072,132.644230769231,131.899024670109,130.860769535898,130.649137222679,130.769230769231,131.664380429813,131.578947368421,130.252442996743,129.702702702703,128.243512974052,128.645598194131,127.830188679245,126.972972972973,125.350140056022,124.038850667746,124.910714285714,125.101729399797,124.28810720268,124.591947769314,125.274079874706,124.058484714222,130.656552445723,130,129.657089898054,128.685072531586,126.919087136929,126.923076923077,127.502136752137,129.9,130.932203389831,131.472527472527,131.520285332144,130.621693121693,130.085146641438,129.95,129.368279569892,128.651202749141,127.083333333333,126.861252115059,128.283582089552,130.699088145897,132.807469414037,135.61736770692,136.125654450262,134.450726978998,134.144295302013,133.823529411765,134.210526315789,132.097969706735,131.73828125,131.578947368421,132.411375146085
"Washington",170.137763371151,167.554945054945,164.25,162.078093977498,160.548917102315,159.86410871303,161.111111111111,159.861407249467,160.50217839945,159.604519774011,161.771269177127,161.307609860665,161.401098901099,157.498424700693,155.363321799308,153.80694980695,154.199475065617,153.817663817664,154.128440366972,154.065573770492,152.938808373591,151.904761904762,150.214592274678,148.888888888889,147.058823529412,145.334302325581,141.877998629198,138.888888888889,138.366336633663,137.509293680297,134.867116223721,134.501121076233,133.614627285513,132.916666666667,140.490196078431,139.967335510966,138.207343412527,135.245901639344,132.565217391304,132.097186700767,132.890365448505,134.965222043874,136.106831022085,138.117283950617,139.229765013055,139.543057996485,139.823717948718,139.097379488839,138.888888888889,138.059701492537,136.363636363636,135.333415354331,135.795454545455,138.050314465409,142.042224928948,145.616186388719,148.197115384615,149.544863459038,149.86962190352,151.420454545455,151.253241140882,145.251396648045,144.988523335884,143.499308437068,145.548557496952
"Massachusetts",195,193.452380952381,192.65625,193.347953216374,194.74025974026,196.860031931879,199.472891566265,201.155853840418,200.978938000593,199.572243346008,197.529644268775,199.157088122605,199.95652173913,199.226305609284,198.813056379822,196.392857142857,196.8125,198.227611940298,197.613504074505,197.845804988662,197.658688865765,196.039215686275,193.878787878788,194.123819517314,193.571950328707,193.536264562195,188.873139617293,187.964989059081,189.880952380952,191.011235955056,190.104166666667,191.256830601093,191.54501216545,188.110749185668,195.448198827143,194.620901639344,193.89367816092,189.589783281734,187.479316050745,188.76298394712,190.120481927711,193.518518518519,196.132286995516,196.701528559936,195.579710144928,193.146274149034,191.188524590164,192.610062893082,192.484472049689,192.633928571429,190.972222222222,190.677966101695,194.388888888889,199.153526970954,201.923076923077,204.690831556503,206.478873239437,205.128956623681,202.276559865093,203.546646106399,203.862660944206,202.020202020202,200.142979696883,199.95,204.550264550265
"Indiana",79.1239515377446,78.1767955801105,77.8855325914149,78.0381944444444,77.5035260930889,77.9753265602322,78.6163522012579,78.9033457249071,78.1616688396349,77.6666666666667,77.2619047619048,76.7230576441103,76.6369047619048,76.1427949499347,75.6518082422204,75.7575757575758,76.2813522355507,76.9980506822612,77.1907216494845,77.3715415019763,77.7325998564937,76.9428058476532,76.3888888888889,76.4285714285714,76.3322131541047,76.3888888888889,74.8886188740381,74.4111349036403,75.2884615384615,75.7434402332361,75.7584951456311,76.203288490284,76.3489208633093,75.9619952494062,79.4575498575499,79.0277777777778,78.5839160839161,77.9711884753902,77.376565954311,77.2955974842767,77.2357723577236,77.6984126984127,78.076171875,78.2153539381854,78.1927710843373,78.1292363307727,77.6658270361041,77.9910428662828,77.457264957265,77.1984924623115,76.4455782312925,76.0538641686183,76.8198992443325,78.1941575686043,79.6319018404908,80.4054054054054,81.2269031781227,80.972972972973,80.5471124620061,80.203317281969,80.0747863247863,78.7671232876712,78.3589969203695,77.8198653198653,79.1030534351145
"Arizona",129.083333333333,122.905457340507,120.567375886525,119.553666312434,118.335500650195,116.14730878187,115.606936416185,119.520547945205,114.697406340058,112.235294117647,109.170305676856,111.045751633987,107.869142351901,105.357927097058,105.179704016913,103.286384976526,101.446718419195,100,99.0506329113924,98.2638888888889,97.2957903540563,94.7295423023578,92.2213311948677,90.5452035886819,88.6259040105194,87.4831763122477,86.0417947141979,84.6842812360054,85.2272727272727,84.7457627118644,83.28125,83.7750135208221,83.3790455293472,82.701062215478,84.4192634560907,84.446190102121,85.6313497822932,85.8055682336832,86.2899005756149,88.0427942101951,88.9461358313817,92.7734375,96.0482985729967,97.3828362751065,98.5793212312549,98.8665158371041,99.7442455242967,100.1001001001,101.695337820992,103.717088280847,104.325787401575,105.952380952381,107.891217119929,109.8,112.376385975427,114.650229357798,115.848670756646,116.22621564482,116.529492455418,117.303822937626,118.351063829787,117.602427921093,118.133490844654,118.40888066605,120.142920946851
"Tennessee",96.5966386554622,96.4219041692595,96.625,96.2894736842105,95.9298477829252,95.7827476038339,95.9942084942085,96.2222222222222,95.8333333333333,95.4883227176221,95.2127659574468,95.1587301587302,94.3579766536965,94.1892422457793,94.3565400843882,93.878954607978,93.6152570480929,93.5714285714286,93.370607028754,93.4387814879906,93.3333333333333,93.125,92.6490066225166,92.6701570680628,92.0520880107768,93.013468013468,92.4377224199288,91.9117647058823,91.7779632721202,91.85303514377,91.25,91.5178571428571,90.9007352941177,90.2555366269165,92.96875,92.45,92.1875,91.9368974583699,91.547548730065,91.3451776649746,91.0134600158353,91.2985719030222,91.6230366492147,91.3011695906433,91.2921348314607,91.1837237977805,91.2468513853904,91.295652173913,91.3742690058479,91.2816691505216,90.9090909090909,90.8340214698596,91.4634146341463,92.0245398773006,92.9970617042115,93.671875,93.7667560321716,93.8908362543816,93.7688442211055,93.75,93.6739659367397,93.1159420289855,93.3764940239044,93.201581027668,94.1148775894539
"Missouri",95.6553755522828,93.5848017621145,93.6781609195402,94.2460317460317,94.4282945736434,94.3125,94.6969696969697,95.1492537313433,94.0882352941177,94.4094488188976,94.1955193482688,94.1671340437465,94.8837209302326,93.9039408866995,93.6435868331442,92.77238403452,93.1551235317942,92.3989898989899,93.167701863354,93.6329588014981,92.1428571428571,92.1475312314099,91.1419270833333,90.8430232558139,90.363482671175,89.9,88.2472826086956,86.9130434782609,87.9886098886875,87.8378378378378,86.3181818181818,87.2555865921788,87.0400878638111,85.5823680823681,86.2998921251348,85.6610800744879,85.6428571428571,85.013839462238,84.4430992736077,85.3820598006645,84.8262032085561,85.0340136054422,84.988085782367,86.4387245485978,85.3710624666311,84.8651960784314,84.5502645502645,84.0443686006826,83.4632516703786,84.1228070175438,82.9875518672199,82.5961538461538,83.5907335907336,87.1134020618557,88.3314318311466,89.5,89.5418326693227,89.1498216409037,89.087397392564,89.1865079365079,89.0374331550802,87.4897792313982,87.0327102803738,86.5332820315506,88.3045525902669
"Maryland",179.738562091503,176.917404129794,175,173.31792501284,172.704837117473,171.875,173.014256619145,171.921921921922,170,167.558365758755,166.6,165.391156462585,164.165103189493,161.025145067698,158.337735849057,158.616904500549,158.095238095238,157.509157509158,158.978374347502,158.650793650794,157.647058823529,155.615696887686,153,151.639344262295,151.072124756335,151.133501259446,147.515527950311,145.558223289316,147.058823529412,146.862745098039,145.279056386651,147.701149425287,148.295454545455,147.135714285714,155.971479500891,154.351395730706,153.985507246377,151.137980085349,151.439393939394,149.067859806115,149.743150684932,153.196147110333,152.658045977011,154.211788896504,154.850746268657,154.13961038961,152.671755725191,153.021978021978,152.814569536424,151.362456747405,149.118257261411,148.966000701016,150.30303030303,153.842307692308,158.287037037037,160.546575342466,161.401098901099,161.371237458194,159.667392250762,160.635042081102,160.283993115318,158.25,155.555555555556,154.20200462606,156.974459724951
"Wisconsin",109.895833333333,109.405890804598,108.424336973479,108.59375,107.954545454545,108.941418293936,109.99662276258,109.756097560976,110.318275154004,110.825199645075,109.228256431196,108.947713848173,107.97213622291,107.083333333333,106.165191740413,105.374280230326,105.19298245614,105.091984231275,104.788732394366,104.846292947559,104.808387563268,104.713687150838,103.92,104.065291037881,103.094170403587,102.564924655338,99.9310344827586,98.456992777413,99.197247706422,98.8225399495374,98.2792527040315,98.5798816568047,98.964896489649,97.675647120972,98.6184210526316,98.1827111984283,97.8942213516161,97.1902017291066,96.2815405046481,95.8401305057096,95.1557093425606,96.0134486071085,97.0857142857143,96.9305331179321,97.2590627763042,96.671826625387,96.3926174496644,96.1506276150628,95.5828779599271,95.6140350877193,95,93.9916405433647,93.4552845528455,94.6842105263158,96.3571428571429,99.609375,100.950683303624,101.510989010989,101.067415730337,100.437062937063,100.541795665635,98.4090909090909,97.9020979020979,97.0212765957447,98.4848484848485
"Minnesota",119.966402687785,116.141078838174,113.502415458937,111.53488372093,110.205128205128,109.675324675325,111.111111111111,112.478534630796,112.099358974359,112.458333333333,112.770758122744,112.942989214176,111.860795454545,110.878661087866,110.058737151248,108.322496749025,108.311170212766,108.220568335589,107.407407407407,107.400722021661,106.124948958759,104.467680608365,102.813186813187,102.641232575202,101.484375,100,97.1666666666667,95,95.479962721342,95.8371824480369,94.9240331491713,94.9136904761905,95.0223713646533,94.5,114.503205128205,114.764267990074,114.444444444444,113.149118627918,111.92,110.686600221484,112.4375,114.969135802469,116.510108864697,117.033976124885,118.760611205433,118.323191345504,118.35043409629,119.858156028369,120.273109243697,119.852941176471,119.672131147541,119.44295661489,120.8670095518,125.510204081633,127.806563039724,132.393162393162,135.448916408669,135.514018691589,135.746606334842,136.888454011742,136.785714285714,133.238095238095,133.390352377694,131.551901336074,136.363636363636
"Colorado",138.339438339438,136.747458952306,135.721757322176,134.949679780421,136.231203007519,135.78869047619,137.775735294118,138.888888888889,137.967327887981,136.783733826248,136.41810918775,137.135393992164,136.475409836066,135.714285714286,136.042921686747,133.9405304045,132.880698351115,131.933225632741,130.843840931135,131.751824817518,131.392045454545,130.292259083728,129.07917383821,129.032258064516,127.272727272727,126.056338028169,123.589515770769,122.063758389262,122.849340009103,120.988953182536,118.196265395312,120.235294117647,122.122302158273,120.632239382239,143.078758949881,144.650655021834,142.910170749814,142.317540891145,141.579731743666,142.590286425903,142.884130982368,145.027624309392,145.561719833564,147.777777777778,149.154586923467,148.981161091888,148.702594810379,148.292682926829,147.68174012593,146.701388888889,145.89905362776,145.787545787546,146.379044684129,148.395721925134,149.451381006432,151.212686567164,153.300415800416,154.166666666667,155.353728489484,157.328805885682,153.846153846154,153.221125943122,154.614652711703,155.007949125596,155.732484076433
"Alabama",98.3825597749648,98.0984615384615,98.3510638297872,97.8865979381443,98.8779803646564,99.3714285714286,99.9500831946755,99.9000499750125,99.4736842105263,98.8957597173145,98.1804949053857,97.5806451612903,96.9180859691809,95.9692898272553,95.4405422057917,95.0319375443577,95,94.5945945945946,94.0673131774102,94.6377638334284,93.9908256880734,93.3780418788908,91.2608695652174,91.8378378378378,91.9068056407112,91.437908496732,90.2083333333333,89.6193771626298,90.0638750887154,90.1352874859076,89.3132445690259,88.8803680981595,88.8592140404426,88.563829787234,89.6345514950166,89.7509187423438,89.0591589451176,88.4210526315789,89.0591589451176,88.1299734748011,88.7409200968523,89.6010757507844,89.1035165923725,89.1992551210428,89.4359892569382,89.3649815043157,89.2006802721089,88.9878542510121,88.9612615701063,89.200477326969,88.8480392156863,88.4495317377732,88.5486018641811,89.765625,90.3284671532847,90.710090763481,90.5770635500365,90.7356948228883,90.5773059057731,90.0853889943074,90.0516795865633,89.1582799634035,88.963963963964,88.9163780306779,90.0948991696323
"South Carolina",110.410094637224,110,110.887096774194,110.688493018777,109.715994020927,107.6,108.620689655172,107.880434782609,109.232175502742,107.841726618705,109.5,108.25,106.428571428571,106.934931506849,106.411764705882,104.760479041916,103.450655624569,102.490842490842,101.039215686275,100.666666666667,100,99.9091734786558,98.6581013561742,98.9655172413793,98.2413793103448,97.65625,96.7194570135747,96.1538461538462,96.57594381036,96.57594381036,95.6,95.3707496927489,95.3516090584029,95.2362804878049,97.7050573735657,96.8276249298147,96.7854376452363,96.7372638809388,102.516309412861,95.771144278607,95.3917050691244,96.2222222222222,95.1414514145142,95.5458989679522,95.2348536419333,94.7426067907996,94.7629796839729,94.5833333333333,94.3494423791822,94.0203083866115,94.017094017094,93.8296445338699,94.2593756547245,95.1648351648352,96.2301587301587,96.6167230546158,97.5975975975976,97.6338157592465,97.5572801182557,97.1822886716504,96.6800228963938,96.4595375722543,96.8090859924283,96.5559655596556,97.4714518760196
"Louisiana",104.817073170732,104.418604651163,103.488518402013,103.147574819401,103.151862464183,103.944562899787,104.280510018215,104.616210413312,104.633781763827,104.097222222222,103.699551569507,103.898635477583,103.310729956123,102.355350742448,101.567567567568,101.144366197183,101.860053144376,101.924759405074,101.645692158761,101.807228915663,101.9114367633,101.4631043257,101.112797167425,100.756302521008,100.162425554954,100,98.692515779982,97.530487804878,98.2384823848238,98.4615384615385,97.6923076923077,97.5836431226766,96.9101123595506,96.6163141993958,96.7741935483871,96.8484848484848,95.5934612651031,95.725865880619,96.2697274031564,97.3949082297217,97.9567307692308,98.0384615384615,98.2142857142857,97.3187686196624,97.2222222222222,97.5816716164616,98.1124655918207,98.0263157894737,97.1439904799683,98.105387803434,98.1986899563319,98.9235737351991,99.375,100,100.473933649289,100.373657169547,100.592066311427,100,100.26525198939,99.8205473306415,100,98.2378854625551,99.1232594120681,98.876404494382,100.143061516452
